id,title,genres,averageRating,numVotes,releaseYear
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156885,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,136896,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,131090,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,130486,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,126477,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114582,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112755,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103341,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,100083,2016
tt9059760,"Normal People","Drama, Romance",8.4,98252,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96308,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,95128,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,88010,2018
