id,title,genres,averageRating,numVotes,releaseYear
tt0844760,"Starship Troopers 3: Marauder","Action, Adventure, Sci-Fi",4.3,24893,2008
tt11112808,Cirkus,"Comedy, Drama",4.3,23954,2022
tt6950476,Tejas,"Action, Drama, Thriller",4.3,23277,2023
tt0422774,"Are We Done Yet?","Comedy, Family",4.3,22925,2007
tt0319931,"American Idol","Documentary, Game-Show, Music",4.3,22358,2002
tt1577061,"Recep Ivedik 3",Comedy,4.3,21746,2010
tt0131704,"The Adventures of Rocky & Bullwinkle","Adventure, Comedy, Family",4.3,21409,2000
tt9649436,Enaaya,"Musical, Romance",4.3,20092,2019
tt1392197,Marmaduke,"Comedy, Family",4.3,17879,2010
tt0131646,"Wing Commander","Action, Adventure, Sci-Fi",4.3,17602,1999
tt6494418,Siberia,"Crime, Drama, Romance",4.3,17504,2018
tt13634480,"The Ice Age Adventures of Buck Wild","Adventure, Animation, Comedy",4.3,17460,2022
tt4019560,Exposed,"Crime, Drama, Mystery",4.3,17175,2016
tt0997047,"College Road Trip","Adventure, Comedy, Drama",4.3,16862,2008
tt3838992,"Yoga Hosers","Action, Comedy, Horror",4.3,15818,2016
tt0961722,"Cabin Fever 2: Spring Fever",Horror,4.3,15488,2009
tt1519461,"Area 51","Horror, Mystery, Sci-Fi",4.3,15388,2015
tt0167456,Thunderbirds,"Action, Adventure, Comedy",4.3,14650,2004
tt1320304,"30 Days of Night: Dark Days","Horror, Thriller",4.3,14546,2010
tt4824308,"God's Not Dead 2",Drama,4.3,13766,2016
tt0790804,"The Comebacks","Comedy, Sport",4.3,12140,2007
tt6003368,"Diary of a Wimpy Kid: The Long Haul","Adventure, Comedy, Family",4.3,11388,2017
tt1935302,"Monsters: Dark Continent","Action, Drama, Sci-Fi",4.3,11313,2014
tt10098288,Roohi,"Comedy, Horror",4.3,11197,2021
tt0190524,"Left Behind: The Movie","Action, Drama, Fantasy",4.3,10738,2000
tt3803860,Puli,"Action, Adventure, Fantasy",4.3,10647,2015
tt4575328,"2036 Origin Unknown","Action, Sci-Fi, Thriller",4.3,10178,2018
tt1333125,"Movie 43",Comedy,4.4,114636,2013
tt14954666,"The Idol","Drama, Music",4.4,112695,2023
tt1467304,"The Human Centipede (First Sequence)",Horror,4.4,90164,2009
tt0370032,Ultraviolet,"Action, Sci-Fi",4.4,84664,2006
tt0338459,"Spy Kids 3: Game Over","Action, Adventure, Comedy",4.4,67691,2003
tt1592873,LOL,"Comedy, Drama, Romance",4.4,58633,2012
tt10155932,Cinderella,"Comedy, Family, Fantasy",4.4,47885,2021
tt0105477,"Stop! Or My Mom Will Shoot","Action, Comedy",4.4,45411,1992
tt0430912,"Basic Instinct 2","Drama, Mystery, Thriller",4.4,42134,2006
tt3450650,"Paul Blart: Mall Cop 2","Action, Comedy, Crime",4.4,42036,2015
tt1615918,"Alvin and the Chipmunks: Chipwrecked","Adventure, Comedy, Family",4.4,40835,2011
tt0098105,"Police Academy 6: City Under Siege","Comedy, Crime",4.4,33710,1989
tt0107438,"Look Who's Talking Now","Comedy, Family, Romance",4.4,31370,1993
tt0775440,Cell,"Action, Adventure, Horror",4.4,31252,2016
tt3612126,"The Grudge","Fantasy, Horror",4.4,30331,2019
